customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TenureGroup,TotalRevenue,AverageCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,Female,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0-12,29.85,29.85,0,0,0,0,0,1,0
5575-GNVDE,Male,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,25-36,1936.3,55.57,0,0,1,0,0,0,1
3668-QPYBK,Male,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0-12,107.7,54.08,0,0,0,0,0,0,1
7795-CFOCW,Male,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,37-48,1903.5,40.91,0,0,1,0,0,0,0
9237-HQITU,Female,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,0-12,141.4,75.83,1,0,0,0,0,1,0
9305-CDSKC,Female,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,0-12,797.2,102.56,1,0,0,0,0,1,0
1452-KIOVK,Male,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,13-24,1960.2,88.61,1,0,0,0,1,0,0
6713-OKOMC,Female,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0-12,297.5,30.19,0,0,0,0,0,0,1
7892-POOKP,Female,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,25-36,2934.4,108.79,1,0,0,0,0,1,0
6388-TABGU,Male,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,49+,3481.3,56.26,0,0,1,0,0,0,0
9763-GRSKD,Male,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,13-24,649.35,45.19,0,0,0,0,0,0,1
7469-LKBCI,Male,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,13-24,303.2,20.43,0,1,0,1,1,0,0
8091-TTVAX,Male,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,49+,5820.3,97.95,1,0,1,0,1,0,0
0280-XJGEX,Male,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,49+,5081.3,102.78,1,0,0,0,0,0,0
5129-JLPIS,Male,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,25-36,2637.5,107.44,1,0,0,0,0,1,0
